studentLogID,studentID,topicID,categoryID,difficultyOffset,createdAt
"X'1B1278D0F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B12792BF61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B127986F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B1279E1F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'E990EEBA5D434251A2CED1C43C294048'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B127A3CF61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B127A97F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B127AF2F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B127B4DF61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'E990EEBA5D434251A2CED1C43C294048'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B127BA7F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B127C02F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B127C5EF61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B127CB8F61211EE8F82D92941CC39B9'","X'03F7799D5D5A4179B5434270C4C78CCD'","X'E990EEBA5D434251A2CED1C43C294048'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B134902F61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B134B1DF61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B134DADF61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B134FA4F61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B13522DF61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B135421F61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B13571DF61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B135910F61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B135CDDF61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B135EE3F61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B136302F61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B1364F8F61211EE8F82D92941CC39B9'","X'69911C8964764B1CBCB046D46A293C91'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B1398FEF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B1399ABF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B139A86F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'E990EEBA5D434251A2CED1C43C294048'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B139B2EF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B139BD8F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B139CDCF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'E990EEBA5D434251A2CED1C43C294048'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B139D87F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B139E2FF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B139EF9F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'E990EEBA5D434251A2CED1C43C294048'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B139FA1F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B13A049F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B13A15BF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'E990EEBA5D434251A2CED1C43C294048'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B13A205F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B13A2ADF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B13A3A3F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'E990EEBA5D434251A2CED1C43C294048'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B13A44CF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B13A4F4F61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B13A5DBF61211EE8F82D92941CC39B9'","X'B8F77824BF6A429DA4AD1A580BB30D49'","X'E990EEBA5D434251A2CED1C43C294048'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B13FB62F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B13FBB3F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B13FC00F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B13FC4BF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'E990EEBA5D434251A2CED1C43C294048'","X'1A1BBFFC6FEF44E1BBB98DC0726C2018'",0.00,2024-04-08 18:40:11
"X'1B13FC96F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B13FCE0F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B13FD2BF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B13FD75F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'E990EEBA5D434251A2CED1C43C294048'","X'417786202CD94EB89655C67365551278'",0.00,2024-04-08 18:40:11
"X'1B13FDC0F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B13FE0AF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B13FE55F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B13FE9FF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'E990EEBA5D434251A2CED1C43C294048'","X'8C2B51FD6B3A4D7A8FC2B0A071055062'",0.00,2024-04-08 18:40:11
"X'1B13FEEAF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B13FF35F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B13FF7FF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B13FFC9F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'E990EEBA5D434251A2CED1C43C294048'","X'8EE7AE7D88B1405DA29123F10E8CDCAB'",0.00,2024-04-08 18:40:11
"X'1B140014F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B14005FF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B1400AAF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'7F4746DF0A7041C1B72BC3FDF3B69F9A'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B1400F5F61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'E990EEBA5D434251A2CED1C43C294048'","X'9CD2D9F7B6B746B6948B66EBB6B71486'",0.00,2024-04-08 18:40:11
"X'1B14013FF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'1B9D1CC8B6A54CD7AEB11C961B9300BB'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
"X'1B14018BF61211EE8F82D92941CC39B9'","X'97CFF03E8FCC4B5A9DC6B6758312675F'","X'AC2FB39A11DC4A7CB7831C5921A20E46'","X'C3122318A52B4221B00942A1AECBC657'",0.00,2024-04-08 18:40:11
