questionLogID,questionID,difficulty,createdAt
"X'016F1524B7FE43848510C4C2D92209E8'","X'88C0D9DB1EC04AA3877BDE5EAAF164C4'",0.33,2024-04-08 18:06:53
"X'01737E5901B044D9A4198D136C52250F'","X'B7284E27B83B409B8BB4F7ABE998F8EF'",0.30,2024-04-07 15:37:55
"X'0178B65A41DA42948D5C73FF189B961A'","X'0FDA4670E97844F0A3523DF60928B3EA'",2.96,2024-04-08 20:15:53
"X'0199EEC7C7234684B75002512F4355AB'","X'D7B26782A38E4DEB81DE630B0CE038D5'",1.27,2024-04-07 15:18:33
"X'019F6F78F967481CAC932E5A40795248'","X'3FC5CAEA4DBA4E87939ED6521D7B1149'",3.26,2024-04-09 08:43:33
"X'01A6FE39DD48443EA50B17904B80D1FA'","X'810EA2FE36AC4595B5A27A41DD0D71E7'",0.40,2024-04-04 21:46:01
"X'01AE6385C17C445E99F4B74F4F084AB0'","X'8282AB593B79497B82EAC7F2CF0BC9A7'",0.70,2024-04-07 15:18:40
"X'01BBF5E8F47349F8BCFFBCC630C1F15B'","X'76FD6694CFC047609643E2593165CC7C'",0.66,2024-04-07 15:23:15
"X'01C27D420E13496F9CDB5A559EE654CD'","X'DD23396202154AE2B04EBBAC1634DE64'",7.95,2024-04-09 08:45:35
"X'01C7EE8477D24716AC21DDFC4C201BD2'","X'2FAF40DD962C4EC1B90DE4B7EC9F1791'",0.50,2024-04-02 00:36:21
"X'01D3AA22E6A9487F9C55E46F1B027AFB'","X'CE29312559F6409BBBB782E7431D1F37'",0.40,2024-04-07 15:49:40
"X'01DA7CD9E65345199A6F9AA0EF413116'","X'B50E114914E244939838E07C4103968D'",0.30,2024-04-05 18:14:08
"X'02191F1D7ABD4E5B9473EB537E7451CE'","X'D310B671AD5E4DAE850DDF96FDAFA82C'",0.71,2024-04-08 10:14:25
"X'021E93BBE923423BBA89E37A410B95F8'","X'5D32215E60144A63AEA1D0F958B9D579'",2.24,2024-04-09 07:12:56
"X'021FB798F379487EB7E14A6E14FF7C49'","X'56B88809F9454047B709E627D735A765'",0.20,2024-04-08 18:05:08
"X'022049B75E7F4882BB4F1484B6F99FEC'","X'B952EF9DCCC14C6D8AEACD60F2C1E5A7'",0.30,2024-04-06 20:57:20
"X'023F2E35A9FE47BB88F5AA0342A29158'","X'10353E900E884134BC4BB64CBF00ADF5'",0.60,2024-04-03 13:06:46
"X'02428C8005074A01825A69D7A8B50D82'","X'D4B0278BA4EE4F5DBB5B36E3B84F76AB'",2.45,2024-04-07 19:35:25
"X'02450E0FA6E94F0DBFFC0257675A99F1'","X'CF40212F7842463AB6AF2CE8C96CA73C'",0.40,2024-04-05 13:10:22
"X'024C0B0964114B78A12EC1C131C154C0'","X'E74698FE62614ABBB3427C4190F09C38'",0.30,2024-04-07 21:00:38
"X'02607F3EB3134D458C385D028DC738DA'","X'4D337187648F49308F6E5A5424598CE7'",0.46,2024-04-07 21:16:03
"X'02671FB74B5B41EB926154342DB9CFC1'","X'F1C278AD1FE24F138AAE7B67991BA5F9'",0.26,2024-04-03 13:40:34
"X'026814C2D79447998FD111A968C3F533'","X'567BAFD3F48E4ED296A232F6F796692A'",0.40,2024-04-07 15:22:27
"X'027DA1D9B3AB490EACA86CDBF5E276B4'","X'9C32A92DB73C4D7DB8FBBD985F8483E3'",0.40,2024-04-03 14:47:57
"X'027EA56D5ABB4D46BDC551AF0F0E9A9A'","X'194FDCB0B59A4756AB8005B433AB8BAC'",0.79,2024-04-07 18:07:02
"X'028ECD0C4985425E8F8AF3C4DF138C4D'","X'FE57DBE6E1D447C79923C501D5D13A92'",0.70,2024-04-03 21:07:13
"X'028F25912A8947478811861B8137BECA'","X'C247B771166548BD8CA97A44C53AF8B7'",0.60,2024-04-03 12:49:15
"X'029622CD53D0440081C6DCB76F12E784'","X'57B7C129C6DE496EBFAAEFFD63765451'",0.60,2024-04-07 21:19:06
"X'02972E1EBF144F989AC77A611CFA8855'","X'278A89C47DFE48DA830117E1AF601A2A'",0.30,2024-04-06 17:19:49
"X'029DAF4352E04EE4BB60CE138093C0BB'","X'F7D82D476114434E9057F91AA5F63136'",0.20,2024-04-03 13:49:23
"X'02B7A8E36E23486DB855E4E7A85EE661'","X'742152E6B0A444B4A76BFB9E7BFDF0CD'",0.92,2024-04-08 21:40:07
"X'02B7E35312894F1A9E7CA63BE16AF8E8'","X'5EDF3A90F40E4201B210E1CFBB5B880D'",1.10,2024-04-08 18:56:09
"X'02E52763843E43B9B043B957DC7EB7CE'","X'EDF135A611A1491C94BCB7B33107EBD8'",0.60,2024-04-07 11:22:58
"X'02E5330A12404023A1A2A45C94113707'","X'F6A23487296A4C48A1076C3E58A97811'",2.87,2024-04-08 20:13:54
"X'02EC097725F24340B0A6BB8D36AF6B1F'","X'AD4891393839491EA3D053544D4900C8'",0.30,2024-04-07 21:15:21
"X'02F6D7866CC34A5C8B1F159F0CA25F88'","X'CE9DC6BD442A451DA61A3761DAFE7A25'",0.40,2024-04-07 16:44:13
"X'02F75F82BCD14081914FD20998C976D6'","X'E6C48E9C262C4FF18E27C20DE4E95290'",0.53,2024-04-02 18:54:38
"X'030BDEC3D1B443E38D470E62C1288756'","X'D4A109D821764FDC92738D6074E4244E'",1.04,2024-04-04 13:25:03
"X'0312C9E8AAF642919EEA5A2C586E173E'","X'C69C61BE04834FDCAAC09774E774A653'",3.07,2024-04-08 18:07:17
"X'0319562CB24246A7A1C4284391266D59'","X'D0D167C668744A6EA89940A26ACCD22F'",0.53,2024-04-02 11:05:31
"X'0338AF4ADBB04D92A1EB38ACF863AE10'","X'FCEA4B224A544B8DBC6D9064CBDE4F79'",1.25,2024-04-08 21:19:01
"X'033DD7B59CB142A4B32ADD1CCEAFE392'","X'5E0277C3463B493490017717CB30FA6A'",0.60,2024-04-07 15:14:55
"X'033EF7A6A4054865ABFF8928EFFFE38F'","X'068AF8B6161B42D188554D2E72A680D7'",0.70,2024-04-07 11:40:42
"X'0344B1C52C75473089D5E9162A33B091'","X'043545C746C9415C8242D645162AC362'",0.50,2024-04-03 13:03:16
"X'03543E93A3EF45CD8FED62C8CDA0CAC7'","X'10353E900E884134BC4BB64CBF00ADF5'",0.64,2024-04-07 10:53:07
"X'036E2DB1197740A6BD60E68F836500C1'","X'47C22DDE1D7B41EA81E19AFBF5908482'",0.80,2024-04-03 01:25:55
"X'036E55AAFF024CCA82EB307BAA4B949C'","X'6825FFEADA5B43AF9D862728A0600A44'",0.50,2024-04-06 18:34:21
"X'03753A9CFB0D48118D68B8DDBC8D6EBF'","X'54200E6DF2AC4224B29F0D6E1E1AE49C'",0.60,2024-04-07 21:42:41
"X'0376ADA273F045948E1F18ED3007E3B0'","X'B40B9926B88540258A1C6DFE354BAFA0'",0.70,2024-04-02 00:36:06
"X'0388176180A84E86ACD6094CDE1945F9'","X'81CD6F08965D4A22840811027A065F2D'",0.30,2024-04-07 20:34:43
"X'039686E5C0B74EE795850768E501AA1F'","X'023F9AC52A8644368F2CF66208C940BF'",0.43,2024-04-07 16:55:39
"X'03B99B641EDA42E6AB2E0DDDB0389D6D'","X'3EFF66D57E4E499DACD594FA11A808FF'",0.90,2024-04-03 12:53:01
"X'03C14A991880427CA49669E129E4DA03'","X'17F0477CFA8649EE952523CF37FA9644'",0.10,2024-04-08 17:28:10
"X'03DC891A14C54B5A8C7C73AB9B4D4B35'","X'F480DA863E004E98AEABCD41B7451D63'",0.30,2024-04-07 15:22:56
"X'03E26797B22942CCB9071F576182F086'","X'D116A2DCB06946CBA972D41613B14D0F'",0.61,2024-04-08 19:14:01
"X'03EF9FCF036F42E281ED733F315461F5'","X'56B88809F9454047B709E627D735A765'",0.20,2024-04-04 18:51:39
"X'03F163BAE7DC4AE2A73A17C34E190353'","X'63663ADE7AA0455CA3B7DBD19E96CA05'",0.80,2024-04-05 12:47:37
"X'03FB97E12D8B481097B83EB843EEA344'","X'FE57DBE6E1D447C79923C501D5D13A92'",0.70,2024-04-03 15:06:48
"X'03FD1C17095E48F1B26FBE41BDE9D6E8'","X'D40DEB2174AC401DB8B8AA6597ACF57D'",0.70,2024-04-04 13:26:00
"X'0404EC1C3E4A4E64A186199D4443CF2F'","X'54D9977F534540C3B7D5E1236001D5A8'",0.80,2024-04-03 14:58:17
"X'0406B941DFFC42E4873BCD61D40A1301'","X'ECB0C1E209D44DFC8EC38E247B2B8717'",0.30,2024-04-04 01:34:28
"X'041BACE9CF0543698F529BACE99F83BD'","X'A3251FDD56A04B8CAAC57F2CFE3BD05D'",0.50,2024-04-07 13:06:15
"X'04230441FBBA4303BC06B948DD45FAE4'","X'D92B20A47C9449549F6527C0F44D891C'",0.94,2024-04-08 21:18:08
"X'0427D7A21A8240C6B8DA9888F7F31E29'","X'24B23912B61243EBB01AB6CA50EEA551'",1.25,2024-04-08 19:02:28
"X'042DA3A3B0714F6FA7E66385D51BDEAD'","X'87958784ABBF4B3B8ADE06593A953063'",0.31,2024-04-08 12:57:15
"X'0444BBB563DD4F22BC630C6A21D21D39'","X'45EEA478FFA24907BFDA4D70F99AB556'",1.02,2024-04-09 08:06:32
"X'0455337F982141F3AF99BF573A1312BE'","X'75ECD4EBC57A48ED91239DB3D01E1AD9'",0.71,2024-04-03 21:19:21
"X'0464B6F3900945A5A6741EB1D8B1BF4E'","X'F7D82D476114434E9057F91AA5F63136'",0.20,2024-04-02 05:51:55
"X'049371D6629349DDB8EF7D6108139E6B'","X'1DDB42EA55764BCC892351348F1F4184'",0.73,2024-04-04 12:47:39
"X'0496442E7D5044348B4FE7A79C172D06'","X'5BE2A76244544D969640A1A7EC30237D'",0.50,2024-04-04 18:15:52
"X'049A893D5ACA449290A58FBF99C105AF'","X'789CEAA2571C4761A576307C235C208C'",0.30,2024-04-07 13:12:03
"X'04A0CED5C0A4435C899FFA58A650E28E'","X'03ED46AE4E2545A3AE8692C6A33C1159'",0.58,2024-04-08 19:47:27
"X'04A4D1C7E22C4197A85E21E2561652EA'","X'24922F314830467D89F69491DF05494F'",3.56,2024-04-08 10:12:11
"X'04A596E7B80C48FBAE26B310D6B71AE7'","X'789CEAA2571C4761A576307C235C208C'",0.30,2024-04-04 19:01:50
"X'04AC868C2D934E96962BCAB148CE2A9E'","X'BC0ABE916C18462B837ECF28FA046CE5'",0.22,2024-04-08 19:04:09
"X'04B6F0A13563456396AF28EA0F08E860'","X'A72909757EC544DFB0ACA4FC2B7E8B81'",0.90,2024-04-08 20:46:51
"X'04D01FE90E9A4D1FB33515355C8330EB'","X'9495F4216B96421AB6F46D5DA7B2C2AD'",0.50,2024-04-07 11:41:59
"X'04D0295A206C496BA6153FCC43F62CB0'","X'7A67706395E34E5794A4E48C3058AF7E'",0.23,2024-04-07 17:19:55
"X'04DE9259EFEB4969871A7B4A317FA982'","X'3CBB5DF01FE245EE932C8EFE8E7B5313'",0.90,2024-04-05 12:48:59
"X'04DF63B6F53C45508830034096354A00'","X'20071AA0AD2E44C6B2ED9F6BF1053E7A'",0.80,2024-04-02 05:58:40
"X'04F0147DA3D7442EB82D4B646C13E80D'","X'A2FC1B522C624FDAA289E8A23864EA3E'",0.60,2024-04-05 14:33:38
"X'04F26FEAAEC74C17BEFEEE1419B3F406'","X'02B56024C5C84808BD843118A2DF7FCB'",0.97,2024-04-08 20:54:25
"X'04FC697B15A1450E8E3129E09888EA16'","X'574940853691496AB74D53988CA75488'",0.50,2024-04-06 17:19:33
"X'050201D0B2EF4B78B013A70A2D25A65C'","X'8240898ABD604F42B998FFB2CEF116EF'",1.15,2024-04-08 17:42:40
"X'051CAEA79C8345EEA4523A9BC66EDAAA'","X'066067827E614AFCB35E31FC55C71914'",0.40,2024-04-07 11:39:36
"X'052405EE35CA41D2AFEAB25BE304A87E'","X'9188AE8C51F24375B296F0081557485F'",0.68,2024-04-08 19:46:49
"X'0529C0E74C1745E9B5BDF39634E6CEDD'","X'E0B362ABE277423DBDFE132F4AE5DFEC'",0.63,2024-04-07 20:45:47
"X'05365E5A0036492799662576F4C0555B'","X'4FD8784360D147DE9296A26FA6592B04'",0.50,2024-04-03 13:08:00
"X'0540877F631A443592300BEAB76C0F96'","X'956038F47A9B470D9C92A07E43E06684'",0.33,2024-04-08 22:20:42
"X'05767FC963B5423CB71BA0A1529D15BE'","X'F612FD19415C4A719536B664C676FA97'",7.15,2024-04-05 16:55:16
"X'0579FEAED9B445CABE86DB8154D2D082'","X'D310B671AD5E4DAE850DDF96FDAFA82C'",0.70,2024-04-07 18:36:12
"X'05837E5D088949519862483C34F74874'","X'C1DC386B2C6C4677A1D5A7C8393A1E19'",0.70,2024-04-05 18:11:26
"X'058682B470654049AB7AF95F1C5B1A32'","X'5F5A17D32C0743AAA280267C513816A7'",2.73,2024-04-08 17:40:03
"X'058B9D69552443F5809482EF2A9AD222'","X'56BEC618350943F89372C9EB6BB5C136'",0.31,2024-04-07 15:41:48
"X'059509D73CD3421B9CDFD445B16FF816'","X'278A89C47DFE48DA830117E1AF601A2A'",0.30,2024-04-02 00:36:11
"X'05A5E13AD1D145EC86F510DE2C5DB6CD'","X'4A7AA46DF5034DAB81EB25466D285309'",0.48,2024-04-07 16:56:25
"X'05AF809E16774305A13C90A8BFBBFC26'","X'E97F86C5ECEB48F9A2C7EB9344663B2E'",0.10,2024-04-08 17:28:15
"X'05BE53AF881247F1A158DD810480F7EC'","X'2CD9D4BCB61043DC9E2C711B4D4F7944'",0.39,2024-04-07 13:33:33
"X'05C6E193E94A49AEAB180E809A3A5BEC'","X'471958D511AE46F0939E03B88C5CB2D5'",2.87,2024-04-07 17:24:40
"X'05DFE597670146978A6BD12D00683787'","X'2C20DD2740E841BDA0E9027C825A9AAC'",0.49,2024-04-08 14:36:02
"X'05EA5E692B74409DB72698EE1F159C6C'","X'48851B343FA24A318BF67E03AEA78448'",0.84,2024-04-08 10:15:18
"X'05F5A96774534EFEB3D03742A17D7E22'","X'A52DC033A5DD47A3AA8F70EF6A770729'",0.50,2024-04-06 21:12:41
"X'05F89DD60221457D80DAC820F3320C8B'","X'E9D53199FD1E41B392489C597254086E'",0.93,2024-04-07 15:42:53
"X'05FCE058DFC0478B90083241BF6EAAC5'","X'30EAB9F54D014A67B3840F2ACE372A2E'",0.70,2024-04-06 19:21:22
"X'061C2B8D86964AC1953E3F1A66E940E5'","X'F4E45685355741ADB39CD2DE64D2C05A'",0.30,2024-04-02 18:42:06
"X'06262B8024A0454CB12BD5BDD62DAE9A'","X'0B97AA2433C947A68D07B63A6D12530F'",4.51,2024-04-09 12:51:34
"X'0631577B38B3474C8906028B6322F2B7'","X'1AA3BB2616E2488DA370A27C2A94C5BA'",0.42,2024-04-07 16:48:32
"X'064459F0C56646948938C7556BFF4906'","X'AD4891393839491EA3D053544D4900C8'",0.56,2024-04-08 10:13:39
"X'065CEE9E702142F0A7267F22C3E8CDD6'","X'C4AADAE5C59E46A7B57BB1EA55661998'",1.21,2024-04-07 18:12:18
"X'06639FD28C9E488B9A4CBE0598FC70E8'","X'C743664871F74C03972CBB547CC1D79F'",0.70,2024-04-07 18:33:21
"X'066533978A814FF4830778E55EF2F166'","X'F6298F14CE16422AA421D393E4F1FBD0'",0.57,2024-04-08 19:12:28
"X'06672C7A11054F368DD925372282FB19'","X'759041C2F481401BA67F4F9FDABDE223'",0.50,2024-04-07 18:50:05
"X'066E4AB47DDB4FB8B754CB3C4CB08FC4'","X'52B38CFC73C949F481F8107ACC818AD9'",1.89,2024-04-08 22:52:05
"X'06849641B207414EB002AF61FB9A388E'","X'B4E12BB1661B4958853DBF93CA9B49E3'",0.79,2024-04-08 21:16:40
"X'068515C240224A43B2D9BC5F2992F25C'","X'3AEA03F9720E49898B35E6484DE1B057'",0.71,2024-04-05 18:40:18
"X'0698B44608314C089043B91A9C8850AD'","X'8D93D36F8F614AADA812D50ECA0F8A9A'",0.60,2024-04-05 13:07:06
"X'06ABD39A5A23466EB06B82704591AB48'","X'25A3E677735D473EA83633D9A89635CE'",0.40,2024-04-03 14:22:32
"X'06AD083CD1BD4EB69173DFA30D5908A7'","X'630F3B440D724E6F85DD5A6E088138BB'",0.50,2024-04-05 13:01:43
"X'06B3FD4BBFCC44B6AEFF750D1C929680'","X'F5EBABA15DD7423FB1748508570C6AAD'",0.30,2024-04-06 21:04:47
"X'06B6CE6E983E4C30818A2A016BFB8948'","X'EE819F38980A4875A86C427A1647A99A'",0.90,2024-04-07 21:02:19
"X'06C17D6ABF604D3799F32477D5D0F86C'","X'B50E114914E244939838E07C4103968D'",2.43,2024-04-08 23:09:57
"X'06C5DCDBF4D140E5A67346C018DD9A09'","X'759041C2F481401BA67F4F9FDABDE223'",0.73,2024-04-08 14:44:49
"X'06D92FF121924ABEA773D7809C07DE6C'","X'DF35F42954174FB897F4CC6535F11F27'",0.31,2024-04-07 21:52:09
"X'06ECD366D8DF4736AFC25F5EF5D25DC8'","X'07BD9F95825B4D2496D53FDAF30C102B'",0.70,2024-04-02 00:36:28
"X'06F2D82625D1417AAD9BBF2E16D39DC0'","X'5D32215E60144A63AEA1D0F958B9D579'",0.52,2024-04-08 22:41:14
"X'06F335EE06734658B38D084D7BD49E3A'","X'A843DF2894194A018AB43A531B9D920B'",0.81,2024-04-03 14:19:15
"X'070479A174724816A4DEC13334826D4E'","X'DD23396202154AE2B04EBBAC1634DE64'",0.46,2024-04-08 19:40:17
"pA*Jއ%u[e_Q","X'C0FB252E4E534AF096BA4F0FBE387798'",8.98,2024-04-09 13:02:22
"X'0725F36A3AFE46D9AE999EE780E16DA9'","X'4445E2CD41C3458B9BAA90505A2E7F5B'",7.90,2024-04-08 17:20:06
"X'072949E02ACE4143A9DB557D1677BD6B'","X'ADDA6E0C7346437BB517E5F046DB70A0'",1.22,2024-04-08 17:01:27
"X'072FF4B32B45437E975A76FA569346BA'","X'BA1D4B5355024B6B810EF08ADC8AF297'",0.35,2024-04-04 21:56:44
"X'0731E434EE454FE889AE011961488F3D'","X'789CEAA2571C4761A576307C235C208C'",0.33,2024-04-08 20:33:21
"X'073D2F731E714BB482D71D8BE2031749'","X'9422D51DA09F42D88D49FA03C393BB25'",0.30,2024-04-07 14:46:53
"X'074A885C3F0444E9B568588849E6675F'","X'796BBA3255194569B9A854DAA56C40BA'",1.45,2024-04-08 19:24:51
"X'0756756A9513438082680EF97AF3AB9B'","X'FB551A16E93A4AD5BD6DAAA5FDF4BBFF'",0.80,2024-04-08 20:49:08
"X'07567AAA6AB349CEB037CC7184E9FF11'","X'0AB613D80E184EE0A5AEDCEA439E0688'",0.80,2024-04-07 21:41:40
"X'075B6BCD373A4779A9E354A96E6B0C73'","X'70294088B6F3493F8FEF5FFEDBFFB9EF'",0.60,2024-04-05 18:36:31
"X'07748FAC982440E085D3D625C0B2593D'","X'AE643D197B474B299B38A209C534FF41'",0.70,2024-04-07 13:05:31
"X'0774B9A9B1B64157942A1B1048F8F9B8'","X'9C0C211665B44037BAC89AF477845723'",0.40,2024-04-01 10:32:37
"X'07762878F2FE4845976AE594F65EA744'","X'AA38F4452C7843138893ACCB43B3AB7D'",1.75,2024-04-08 18:20:21
"X'077CB0C675FE4B1D8BE3BB5B2F675DBF'","X'C0FB252E4E534AF096BA4F0FBE387798'",1.14,2024-04-08 20:48:34
"X'078040E9971240B58D6D9543F5F77F18'","X'9183217E893D484FB15513F7F5CD65AF'",0.70,2024-04-07 16:09:17
"X'078AE6BA584841D5806669F490222AB2'","X'9DF83FBB219F4D489879F7809669DC0C'",0.40,2024-04-02 00:36:18
"X'079FB2B0B0C74EAFA6ED945027FEE0A5'","X'C13F83A846794B2189ED761069706B9F'",0.40,2024-04-03 13:57:13
"X'07B2ADF529C54079A342EB031E53B021'","X'D6995560445840A492C594EA96045A2D'",0.51,2024-04-08 14:41:36
"X'07B6C6AFB8484E3B9A599AB174BCC8F9'","X'35E3DE9DDDBD447FBA37F38E5ADBDF8E'",0.80,2024-04-07 16:33:28
"X'07B6F0A25C0F412CA0F1B7C284DA2857'","X'B4643D811817456C82B83244027D89F0'",1.04,2024-04-08 19:01:34
"X'07C365827C244370B94C8713E30C3BCB'","X'EE819F38980A4875A86C427A1647A99A'",0.90,2024-04-09 07:03:05
"X'07C5068C73BC4072B145995A878B504D'","X'2E90BA719889409596FFD702E7670873'",2.38,2024-04-09 07:58:06
"X'07D5CFD87D264160A2E88F97E07FFCAF'","X'043545C746C9415C8242D645162AC362'",0.50,2024-04-05 13:12:40
"X'07D87D35A7CC470C9E1C49FBEDF60970'","X'A31D2F06C25E4F77BCCBE2145E8DFFA1'",0.50,2024-04-04 18:38:24
"X'07DD81CCC8AA42CABC7E172B5844BE23'","X'D1BCDC2E876A4118B74751B995A590BB'",0.60,2024-04-03 14:47:55
"X'07EE49E621DD4F8397E76AECB0AEBB5C'","X'2C20DD2740E841BDA0E9027C825A9AAC'",0.40,2024-04-07 17:10:33
"X'07FF7239C8F244E5AEDFDE7A918DA2E5'","X'511C37DEA50D40F880B4E6E7596F2D38'",0.87,2024-04-08 18:28:43
"X'080E8A5091D840408E9C121C2840AD5C'","X'DD76471A196142DFBE1C700594FB7A90'",0.30,2024-04-08 12:06:38
"X'080EDC6AA9B54FA8BFF2C143C417F0CA'","X'B51854F574154E09AE689A6949FE4A88'",0.50,2024-04-02 00:36:29
"X'0820DB5D84A149B0941D354EE6D69A43'","X'DD76471A196142DFBE1C700594FB7A90'",0.33,2024-04-08 19:28:01
"X'08225554D40348B6914261DE6E5EB433'","X'89160B7BA1EE4316BCE8EE79CFF9C8EA'",0.40,2024-04-07 17:46:51
"X'083DA1DEB09E4C9487F78A579BAC86E3'","X'E04D634E5F2F473A9FDEFA6C032F6013'",0.50,2024-04-03 12:58:27
"X'08405BD7949A4DCB815E60866E642A90'","X'03BD421DABC8455599FFA5C395B984AD'",1.80,2024-04-08 20:13:56
"X'085352473EBA453297BCF419BE80BD17'","X'DF8AF94B9B644476BC16170C0762FE6A'",0.70,2024-04-06 19:48:18
"X'0853CF7FB5E446FDA6BB50BBF673CC81'","X'6C8D20C9B2684303A0F853D2FB9B9D3B'",0.90,2024-04-03 15:05:48
"X'085D8DCA4ED44F7CAC0D608153172D8C'","X'DA28151514634320ADCCBC621F9E9A48'",1.15,2024-04-05 18:24:42
"X'086A681123D84FFF91A9A71F0325AF11'","X'24922F314830467D89F69491DF05494F'",0.73,2024-04-05 15:50:54
"X'08701F163C04433D99C9F65C0135BC37'","X'17C6C671A4B741F8BDF0C8CBB39B9E1C'",0.80,2024-04-07 20:52:57
